id,utility_function,utility_threshold,privacy_threshold,transformation,outcome_type,solution_no,original_twct,original_avgw,perturbed_twct,perturbed_avgw,privacy_loss,time_found
2021-04-07-10,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,62760,23.048780487804876,,,,300
2021-04-07-11,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,26325,23.076923076923077,,,,300
2021-04-07-6,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,43950,11.666666666666666,43950,11.666666666666666,0,0.004999637603759766
2021-04-07-6,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,43950,11.666666666666666,,,,300
2021-04-07-7,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,57075,33.214285714285715,,,,300
2021-04-07-8,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,58110,36.09375,58110,36.09375,0,0.031000614166259766
2021-04-07-8,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,58110,36.09375,,,,300
2021-04-07-9,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,59310,31.296296296296298,,,,300
2021-04-08-10,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,36840,7,36840,7,0,0.0060007572174072266
2021-04-08-10,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,36840,7,,,,300
2021-04-08-11,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,18600,13.043478260869565,,,,300
2021-04-08-6,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,63420,28.085106382978722,,,,300
2021-04-08-7,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,63855,36.19047619047619,,,,300
2021-04-08-8,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,67275,35.55555555555556,,,,300
2021-04-08-9,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,65185,52.394366197183096,,,,300
2021-04-09-10,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,65100,35.1,65910,35.1,0,123.92528772354126
2021-04-09-10,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,65100,35.1,,,,300
2021-04-09-11,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,32505,34.13793103448276,,,,300
2021-04-09-6,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,32565,0,,,,300
2021-04-09-7,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,53805,21.11111111111111,,,,300
2021-04-09-8,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,72045,48.81818181818182,72105,48.81818181818182,0,277.4528594017029
2021-04-09-8,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,72045,48.81818181818182,,,,300
2021-04-09-9,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,42630,20.48076923076923,,,,300
2021-04-05-10,calculate_avg_wait_time,0.005,0.01,SWAP_ALL_PROC,empty,1,64200,32.1,64200,32.1,0,0.00799870491027832
2021-04-05-10,calculate_avg_wait_time,0.005,0.01,SWAP_ALL_PROC,timeout,,64200,32.1,,,,300
2021-04-05-11,calculate_avg_wait_time,0.005,0.01,SWAP_ALL_PROC,timeout,,14700,1.7647058823529411,,,,300
2021-04-05-6,calculate_avg_wait_time,0.005,0.01,SWAP_ALL_PROC,timeout,,43380,21.666666666666668,,,,300
2021-04-05-7,calculate_avg_wait_time,0.005,0.01,SWAP_ALL_PROC,empty,1,52335,29.25,52800,29.25,0,225.10754656791687
2021-04-05-7,calculate_avg_wait_time,0.005,0.01,SWAP_ALL_PROC,timeout,,52335,29.25,,,,300
2021-04-05-8,calculate_avg_wait_time,0.005,0.01,SWAP_ALL_PROC,timeout,,53725,55.3,,,,300
2021-04-05-9,calculate_avg_wait_time,0.005,0.01,SWAP_ALL_PROC,timeout,,48075,25.363636363636363,,,,300
2021-04-06-10,calculate_avg_wait_time,0.005,0.01,SWAP_ALL_PROC,empty,1,58560,39.183673469387756,58560,39.183673469387756,0,0.01999807357788086
2021-04-06-10,calculate_avg_wait_time,0.005,0.01,SWAP_ALL_PROC,timeout,,58560,39.183673469387756,,,,300
